	countsfilteredBeiRNA_BagBrown_mean	countsfilteredBeiRNA_SeaWater_mean	theta	prob	log2FC
TRINITY_DN32328_c0_g1~~TRINITY_DN32328_c0_g1_i4.p1	0.450570403	4.524484568075	-1.76557527376144	0.999999999999991	-3.3279289946286
TRINITY_DN41474_c0_g1~~TRINITY_DN41474_c0_g1_i1.p1	0.5	90.74644438515	-2.1772207099481	0.999999999999991	-7.50376921162214
TRINITY_DN6012_c0_g4~~TRINITY_DN6012_c0_g4_i1.p1	13.140874039475	0.5	2.15596188260604	0.999999999999991	4.71598933177132
TRINITY_DN11197_c0_g2~~TRINITY_DN11197_c0_g2_i1.p1	0.759882139975	15.208105594225	-1.83068836629484	0.99999999999999	-4.32292097442211
TRINITY_DN551_c2_g1~~TRINITY_DN551_c2_g1_i7.p1	6.344438831525	413.735844802525	-1.7771161639706	0.99999999999999	-6.02707358074592
TRINITY_DN8738_c0_g2~~TRINITY_DN8738_c0_g2_i9.p1	0.429350540675	7.515160863875	-1.83263907942261	0.99999999999999	-4.12957607206293
TRINITY_DN10236_c0_g1~~TRINITY_DN10236_c0_g1_i3.p1	13.5737734674	28.825578388725	-1.84127576653254	0.999999999999987	-1.08652771470653
TRINITY_DN4654_c0_g1~~TRINITY_DN4654_c0_g1_i11.p1	1.0234190836	9.90038903875	-1.80086041204567	0.999999999999987	-3.27408817692849
TRINITY_DN295_c3_g1~~TRINITY_DN295_c3_g1_i6.p1	4.680253557725	27.182989262075	-2.69752925899755	0.999999999999986	-2.53804551870246
TRINITY_DN1471_c0_g2~~TRINITY_DN1471_c0_g2_i12.p1	0.429350540675	6.03768174195	-1.77501403983566	0.999999999999986	-3.81376679791672
TRINITY_DN1170_c0_g2~~TRINITY_DN1170_c0_g2_i3.p1	6.07651845095	35.9657698104	-1.77911596684883	0.999999999999985	-2.56530761232862
TRINITY_DN3553_c0_g1~~TRINITY_DN3553_c0_g1_i4.p1	0.429350540675	8.1029373709	-1.78748849776538	0.999999999999984	-4.23821707610161
TRINITY_DN675_c0_g2~~TRINITY_DN675_c0_g2_i20.p1	30.866701398275	122.243765721725	-2.91848354284605	0.999999999999984	-1.98563767020446
TRINITY_DN8632_c0_g1~~TRINITY_DN8632_c0_g1_i19.p1	0.534931466675	3.327301619675	-1.78556747427573	0.999999999999984	-2.63692667633458
TRINITY_DN901_c0_g1~~TRINITY_DN901_c0_g1_i8.p1	0.42790985645	3.9538811211	-1.80055114965006	0.999999999999984	-3.20789067969114
TRINITY_DN14835_c0_g1~~TRINITY_DN14835_c0_g1_i5.p1	2.654712469875	23.178734059975	-2.17903064310138	0.999999999999983	-3.12617425635111
TRINITY_DN54143_c0_g2~~TRINITY_DN54143_c0_g2_i1.p1	0.36613019855	12.0293475757	-2.16734930980766	0.999999999999981	-5.03805781577563
TRINITY_DN7286_c0_g1~~TRINITY_DN7286_c0_g1_i7.p1	28.2820494175	0.5	2.55626446455498	0.999999999999978	5.82181476161655
TRINITY_DN1101_c1_g2~~TRINITY_DN1101_c1_g2_i1.p1	510.066284706625	317.674513198375	2.60983254684621	0.999999999999976	0.683135393702229
TRINITY_DN701_c8_g1~~TRINITY_DN701_c8_g1_i1.p1	1.34031821935	1001.18700257405	-2.61215337009215	0.999999999999975	-9.54492018474999
TRINITY_DN752_c2_g1~~TRINITY_DN752_c2_g1_i3.p1	0.5	143.191733278925	-3.3631607479802	0.999999999999972	-8.16180439535344
TRINITY_DN823_c0_g1~~TRINITY_DN823_c0_g1_i1.p1	5.6744511596	26.7886555683	-3.33800798044773	0.999999999999972	-2.23906941413272
TRINITY_DN6719_c0_g3~~TRINITY_DN6719_c0_g3_i5.p1	5.56561521705	29.952663243525	-3.32274882534532	0.999999999999971	-2.42807121063141
TRINITY_DN7598_c0_g1~~TRINITY_DN7598_c0_g1_i3.p1	3.281728171525	0.5789987458	1.35864063263617	0.999999999999963	2.50282361584992
TRINITY_DN5863_c0_g1~~TRINITY_DN5863_c0_g1_i3.p1	81.22424547195	51.886219589425	1.35871343795425	0.999999999999963	0.646559011298676
TRINITY_DN2260_c0_g1~~TRINITY_DN2260_c0_g1_i3.p2	2.17324428585	13.7608281615	-2.68298977422946	0.999999999999961	-2.66264504126819
TRINITY_DN343_c0_g1~~TRINITY_DN343_c0_g1_i21.p1	0.498559315775	25.023578833875	-3.13477896166329	0.999999999999958	-5.64937916751455
TRINITY_DN7286_c0_g1~~TRINITY_DN7286_c0_g1_i4.p1	17.748197059625	0.51099916385	3.04869410375434	0.999999999999946	5.11820773601361
TRINITY_DN4147_c0_g1~~TRINITY_DN4147_c0_g1_i7.p2	0.302790463	23.560661685425	-2.62507543309954	0.999999999999934	-6.28191648120566
TRINITY_DN1792_c0_g2~~TRINITY_DN1792_c0_g2_i1.p1	167.66915651355	140.01134332	1.35619565946531	0.999999999999931	0.260073608199355
TRINITY_DN73_c5_g1~~TRINITY_DN73_c5_g1_i36.p1	1321.58987821935	3824.50284580122	-2.64228673958616	0.999999999999926	-1.53299767878416
TRINITY_DN5501_c0_g1~~TRINITY_DN5501_c0_g1_i2.p1	83.589019784725	0.5	3.11488640267278	0.999999999999922	7.38524153788109
TRINITY_DN613_c0_g1~~TRINITY_DN613_c0_g1_i4.p1	4.11676726695	0.7401600433	1.35588702925079	0.999999999999916	2.47560273054141
TRINITY_DN925_c12_g1~~TRINITY_DN925_c12_g1_i1.p1	30.81550000145	107.462849134575	-3.13262719437305	0.999999999999915	-1.8021098883925
TRINITY_DN864_c0_g1~~TRINITY_DN864_c0_g1_i67.p1	20.656011460425	8.440955399575	1.35534316500754	0.999999999999889	1.29108349975705
TRINITY_DN2574_c0_g1~~TRINITY_DN2574_c0_g1_i9.p1	6.80305498635	2.519369982025	1.36164340901514	0.999999999999861	1.43311974529919
TRINITY_DN9829_c0_g1~~TRINITY_DN9829_c0_g1_i4.p1	0.436779657875	46.94199070305	-3.766511384406	0.999999999999838	-6.74782954711574
